computer_time_utc,serial_line
2026-04-27T08:42:50.977344+00:00,"overnight,695140301,3301741,298600,0,113,121.6,284.6,3888,0,0.000,0.000,0.60,0,0,283,0.45,4.96,0.0036"
2026-04-27T08:43:51.009284+00:00,"overnight,695140301,3361773,298600,0,126,125.3,290.4,3836,0,0.000,0.000,0.60,0,0,300,0.36,5.16,0.0037"
2026-04-27T08:44:51.041482+00:00,"overnight,695140301,3421805,298600,0,121,124.3,288.9,3819,0,0.000,0.000,0.60,0,0,272,0.30,5.30,0.0038"
2026-04-27T08:45:51.073431+00:00,"overnight,695140301,3481837,298600,0,132,122.8,286.5,3855,0,0.000,0.000,0.60,0,0,311,0.45,5.65,0.0037"
2026-04-27T08:46:51.105290+00:00,"overnight,695140301,3541869,298600,0,124,122.4,285.8,3876,0,0.000,0.000,0.60,0,0,316,0.32,5.18,0.0037"
2026-04-27T08:47:51.137502+00:00,"overnight,695140301,3601901,298600,0,111,119.3,280.9,3921,0,0.000,0.000,0.60,0,0,308,0.41,5.71,0.0036"
2026-04-27T08:48:51.169343+00:00,"overnight,695140301,3661933,298600,0,127,121.7,284.7,3843,0,0.000,0.000,0.60,0,0,300,0.41,5.84,0.0037"
2026-04-27T08:50:51.233306+00:00,"overnight,695140301,3721965,298600,0,131,120.0,282.0,3905,0,0.000,0.000,0.60,0,0,325,0.37,5.12,0.0039"
2026-04-27T08:50:51.234808+00:00,"overnight,695140301,3781997,298600,0,125,122.5,286.0,3890,0,0.000,0.000,0.60,0,0,292,0.37,5.44,0.0036"
2026-04-27T08:51:51.265320+00:00,"overnight,695140301,3842029,298600,0,111,123.9,288.2,3914,0,0.000,0.000,0.60,0,0,302,0.44,5.83,0.0036"
2026-04-27T08:53:51.329594+00:00,"overnight,695140301,3902061,298600,0,130,121.1,283.7,3877,0,0.000,0.000,0.60,0,0,284,0.29,5.25,0.0038"
2026-04-27T08:53:51.332663+00:00,"overnight,695140301,3962093,298600,0,121,119.9,281.8,3925,0,0.000,0.000,0.60,0,0,320,0.41,5.23,0.0037"
2026-04-27T08:54:51.361338+00:00,"overnight,695140301,4022125,298600,0,132,126.6,292.6,3877,0,0.000,0.000,0.60,0,0,346,0.49,5.17,0.0038"
2026-04-27T08:55:51.393462+00:00,"overnight,695140301,4082157,298600,0,109,118.0,278.8,3921,0,0.000,0.000,0.60,0,0,288,0.51,5.28,0.0036"
2026-04-27T08:56:51.425478+00:00,"overnight,695140301,4142189,298600,0,121,124.6,289.3,3824,0,0.000,0.000,0.60,0,0,280,0.51,4.99,0.0038"
2026-04-27T08:58:51.476378+00:00,"overnight,695140301,4202221,298600,0,119,120.9,283.5,3881,0,0.000,0.000,0.60,0,0,270,0.44,5.48,0.0037"
2026-04-27T08:58:51.476788+00:00,"overnight,695140301,4262253,298600,0,120,120.0,282.0,3876,0,0.000,0.000,0.60,0,0,254,0.37,4.56,0.0038"
2026-04-27T08:59:51.507844+00:00,"overnight,695140301,4322285,298600,0,156,126.7,292.7,3886,0,0.000,0.000,0.60,0,0,263,0.41,5.15,0.0039"
2026-04-27T09:00:51.539540+00:00,"overnight,695140301,4382317,298600,0,118,115.9,275.5,3896,0,0.000,0.000,0.60,0,0,265,0.28,5.64,0.0035"
2026-04-27T09:01:51.571472+00:00,"overnight,695140301,4442349,298600,0,131,120.4,282.7,3880,0,0.000,0.000,0.60,0,0,380,0.39,5.90,0.0037"
2026-04-27T09:02:51.603471+00:00,"overnight,695140301,4502381,298600,0,110,123.3,287.3,3842,0,0.000,0.000,0.60,0,0,322,0.41,5.12,0.0035"
2026-04-27T09:03:51.634629+00:00,"overnight,695140301,4562413,298600,0,115,123.0,286.7,3857,0,0.000,0.000,0.60,0,0,296,0.42,5.88,0.0037"
2026-04-27T09:04:51.666708+00:00,"overnight,695140301,4622445,298600,0,132,122.4,285.9,3876,0,0.000,0.000,0.60,0,0,336,0.35,5.49,0.0037"
2026-04-27T09:06:51.729934+00:00,"overnight,695140301,4682477,298600,0,115,122.4,285.9,3888,0,0.000,0.000,0.60,0,0,306,0.42,5.84,0.0036"
2026-04-27T09:06:51.731498+00:00,"overnight,695140301,4742509,298600,0,122,124.3,288.9,3910,0,0.000,0.000,0.60,0,0,290,0.45,5.68,0.0037"
2026-04-27T09:08:51.793319+00:00,"overnight,695140301,4802541,298600,0,109,116.0,275.6,3889,0,0.000,0.000,0.60,0,0,282,0.55,5.61,0.0035"
2026-04-27T09:08:51.794798+00:00,"overnight,695140301,4862573,298600,0,124,123.9,288.2,3886,0,0.000,0.000,0.60,0,0,285,0.54,5.73,0.0035"
2026-04-27T09:09:51.825089+00:00,"overnight,695140301,4922605,298600,0,130,121.7,284.8,3901,0,0.000,0.000,0.60,0,0,326,0.51,5.43,0.0037"
2026-04-27T09:10:51.856796+00:00,"overnight,695140301,4982637,298600,0,116,121.4,284.2,3904,0,0.000,0.000,0.60,0,0,305,0.40,6.04,0.0036"
2026-04-27T09:11:51.888233+00:00,"overnight,695140301,5042669,298600,0,130,118.9,280.2,3892,0,0.000,0.000,0.60,0,0,307,0.34,4.97,0.0038"
2026-04-27T09:12:51.920065+00:00,"overnight,695140301,5102701,298600,0,111,119.4,281.0,3894,0,0.000,0.000,0.60,0,0,328,0.46,5.83,0.0036"
2026-04-27T09:13:51.951732+00:00,"overnight,695140301,5162733,298600,0,122,122.8,286.5,3855,0,0.000,0.000,0.60,0,0,290,0.39,4.86,0.0039"
2026-04-27T09:14:51.983391+00:00,"overnight,695140301,5222765,298600,0,120,122.4,285.9,3872,0,0.000,0.000,0.60,0,0,360,0.55,6.35,0.0037"
2026-04-27T09:15:52.015175+00:00,"overnight,695140301,5282797,298600,0,115,118.3,279.3,3868,0,0.000,0.000,0.60,0,0,284,0.48,5.05,0.0038"
2026-04-27T09:16:52.046975+00:00,"overnight,695140301,5342829,298600,0,113,119.9,281.8,3896,0,0.000,0.000,0.60,0,0,258,0.42,5.11,0.0036"
2026-04-27T09:17:52.078688+00:00,"overnight,695140301,5402861,298600,0,141,121.5,284.4,3858,0,0.000,0.000,0.60,0,0,332,0.41,4.77,0.0038"
2026-04-27T09:19:52.142102+00:00,"overnight,695140301,5462893,298600,0,108,121.8,284.8,3885,0,0.000,0.000,0.60,0,0,278,0.44,5.04,0.0037"
2026-04-27T09:19:52.144561+00:00,"overnight,695140301,5522925,298600,0,117,120.7,283.2,3859,0,0.000,0.000,0.60,0,0,323,0.57,4.97,0.0037"
2026-04-27T09:21:52.205517+00:00,"overnight,695140301,5582957,298600,0,125,121.3,284.1,3859,0,0.000,0.000,0.60,0,0,295,0.45,4.91,0.0038"
2026-04-27T09:21:52.205809+00:00,"overnight,695140301,5642989,298600,0,115,118.7,279.9,3828,0,0.000,0.000,0.60,0,0,292,0.44,5.88,0.0036"
2026-04-27T09:23:52.268841+00:00,"overnight,695140301,5703021,298600,0,130,120.9,283.4,3889,0,0.000,0.000,0.60,0,0,300,0.56,5.18,0.0038"
2026-04-27T09:23:52.270354+00:00,"overnight,695140301,5763053,298600,0,130,124.7,289.5,3818,0,0.000,0.000,0.60,0,0,292,0.41,5.60,0.0036"
2026-04-27T09:24:52.300678+00:00,"overnight,695140301,5823085,298600,0,125,123.8,288.1,3900,0,0.000,0.000,0.60,0,0,278,0.45,5.36,0.0037"
2026-04-27T09:26:52.364226+00:00,"overnight,695140301,5883117,298600,0,103,121.9,285.1,3890,0,0.000,0.000,0.60,0,0,260,0.35,6.27,0.0036"
2026-04-27T09:26:52.365772+00:00,"overnight,695140301,5943149,298600,0,115,122.2,285.5,3888,0,0.000,0.000,0.60,0,0,302,0.51,5.55,0.0036"
2026-04-27T09:28:52.427776+00:00,"overnight,695140301,6003181,298600,0,117,123.5,287.5,3842,0,0.000,0.000,0.60,0,0,333,0.42,6.20,0.0036"
2026-04-27T09:28:52.428106+00:00,"overnight,695140301,6063213,298600,0,117,124.5,289.2,3846,0,0.000,0.000,0.60,0,0,310,0.43,6.00,0.0037"
2026-04-27T09:29:52.459141+00:00,"overnight,695140301,6123245,298600,0,112,120.7,283.1,3834,0,0.000,0.000,0.60,0,0,316,0.52,5.49,0.0036"
2026-04-27T09:30:52.490787+00:00,"overnight,695140301,6183277,298600,0,118,123.2,287.1,3892,0,0.000,0.000,0.60,0,0,281,0.45,5.60,0.0036"
2026-04-27T09:31:52.522707+00:00,"overnight,695140301,6243309,298600,0,116,120.8,283.3,3891,0,0.000,0.000,0.60,0,0,288,0.40,5.69,0.0036"
2026-04-27T09:32:52.554185+00:00,"overnight,695140301,6303341,298600,0,115,122.7,286.3,3744,0,0.000,0.000,0.60,0,0,278,0.48,5.13,0.0037"
2026-04-27T09:33:52.560360+00:00,"overnight,695140301,6363373,298600,0,116,121.1,283.8,3842,0,0.000,0.000,0.60,0,0,290,0.34,6.07,0.0036"
2026-04-27T09:34:52.582807+00:00,"overnight,695140301,6423405,298600,0,112,123.6,287.8,3872,0,0.000,0.000,0.60,0,0,314,0.51,5.68,0.0036"
2026-04-27T09:35:52.613631+00:00,"overnight,695140301,6483437,298600,0,122,123.4,287.4,3844,0,0.000,0.000,0.60,0,0,316,0.27,5.21,0.0038"
2026-04-27T09:37:52.675362+00:00,"overnight,695140301,6543469,298600,0,128,122.3,285.6,3889,0,0.000,0.000,0.60,0,0,320,0.49,5.74,0.0038"
2026-04-27T09:37:52.677042+00:00,"overnight,695140301,6603501,298600,0,122,123.2,287.1,3844,0,0.000,0.000,0.60,0,0,279,0.44,5.67,0.0036"
2026-04-27T09:38:52.706233+00:00,"overnight,695140301,6663533,298600,0,117,123.4,287.5,3878,0,0.000,0.000,0.60,0,0,278,0.50,5.63,0.0036"
2026-04-27T09:39:52.737039+00:00,"overnight,695140301,6723565,298600,0,123,125.6,291.0,3897,0,0.000,0.000,0.60,0,0,347,0.47,5.50,0.0037"
2026-04-27T09:41:52.799181+00:00,"overnight,695140301,6783597,298600,0,131,121.4,284.2,3871,0,0.000,0.000,0.60,0,0,287,0.41,5.11,0.0039"
2026-04-27T09:41:52.800604+00:00,"overnight,695140301,6843629,298600,0,125,121.5,284.5,3881,0,0.000,0.000,0.60,0,0,280,0.45,4.72,0.0037"
2026-04-27T09:42:52.829902+00:00,"overnight,695140301,6903661,298600,0,118,125.5,290.8,3876,0,0.000,0.000,0.60,0,0,341,0.43,5.58,0.0037"
2026-04-27T09:43:52.860672+00:00,"overnight,695140301,6963693,298600,0,120,124.3,288.9,3880,0,0.000,0.000,0.60,0,0,334,0.51,5.57,0.0037"
2026-04-27T09:44:52.891627+00:00,"overnight,695140301,7023725,298600,0,108,120.5,282.7,3837,0,0.000,0.000,0.60,0,0,312,0.49,5.49,0.0036"
2026-04-27T09:45:52.922472+00:00,"overnight,695140301,7083757,298600,0,117,118.0,278.9,3835,0,0.000,0.000,0.60,0,0,332,0.51,5.72,0.0036"
2026-04-27T09:46:52.953414+00:00,"overnight,695140301,7143789,298600,0,125,123.1,286.9,3870,0,0.000,0.000,0.60,0,0,288,0.34,5.05,0.0038"
2026-04-27T09:47:52.984295+00:00,"overnight,695140301,7203821,298600,0,138,120.0,282.0,3919,0,0.000,0.000,0.60,0,0,305,0.40,4.65,0.0039"
2026-04-27T09:48:53.015315+00:00,"overnight,695140301,7263853,298600,0,120,120.4,282.7,3889,0,0.000,0.000,0.60,0,0,334,0.33,6.51,0.0036"
2026-04-27T09:49:53.045983+00:00,"overnight,695140301,7323885,298600,0,126,121.9,285.1,3903,0,0.000,0.000,0.60,0,0,290,0.40,5.51,0.0036"
2026-04-27T09:50:53.077196+00:00,"overnight,695140301,7383917,298600,0,125,120.9,283.5,3915,0,0.000,0.000,0.60,0,0,260,0.44,5.32,0.0038"
2026-04-27T09:51:53.107943+00:00,"overnight,695140301,7443949,298600,0,125,124.7,289.5,3780,0,0.000,0.000,0.60,0,0,296,0.23,5.31,0.0038"
2026-04-27T09:52:53.138747+00:00,"overnight,695140301,7503981,298600,0,113,119.5,281.2,3818,0,0.000,0.000,0.60,0,0,312,0.42,5.84,0.0036"
2026-04-27T09:53:53.169952+00:00,"overnight,695140301,7564013,298600,0,104,121.1,283.8,3840,0,0.000,0.000,0.60,0,0,342,0.39,5.80,0.0035"
2026-04-27T09:55:53.231408+00:00,"overnight,695140301,7624045,298600,0,120,123.0,286.8,3871,0,0.000,0.000,0.60,0,0,303,0.54,5.59,0.0036"
2026-04-27T09:55:53.231926+00:00,"overnight,695140301,7684077,298600,0,143,127.0,293.1,3889,0,0.000,0.000,0.60,0,0,298,0.27,4.95,0.0038"
2026-04-27T09:56:53.262369+00:00,"overnight,695140301,7744109,298600,0,122,119.6,281.3,3831,0,0.000,0.000,0.60,0,0,281,0.39,5.48,0.0037"
2026-04-27T09:57:53.293318+00:00,"overnight,695140301,7804141,298600,0,119,123.7,288.0,3855,0,0.000,0.000,0.60,0,0,308,0.43,5.62,0.0036"
2026-04-27T09:58:53.324298+00:00,"overnight,695140301,7864173,298600,0,126,120.1,282.1,3867,0,0.000,0.000,0.60,0,0,290,0.36,5.89,0.0036"
2026-04-27T09:59:53.355117+00:00,"overnight,695140301,7924205,298600,0,143,123.7,288.0,3892,0,0.000,0.000,0.60,0,0,256,0.33,4.85,0.0038"
2026-04-27T10:00:53.386056+00:00,"overnight,695140301,7984237,298600,0,118,121.4,284.3,3821,0,0.000,0.000,0.60,0,0,278,0.34,5.15,0.0037"
2026-04-27T10:01:53.416899+00:00,"overnight,695140301,8044269,298600,0,120,122.8,286.5,3837,0,0.000,0.000,0.60,0,0,305,0.42,4.83,0.0037"
2026-04-27T10:02:53.447817+00:00,"overnight,695140301,8104301,298600,0,126,120.8,283.3,3927,0,0.000,0.000,0.60,0,0,271,0.22,5.13,0.0035"
2026-04-27T10:04:53.509695+00:00,"overnight,695140301,8164333,298600,0,119,121.8,284.9,3905,0,0.000,0.000,0.60,0,0,298,0.39,6.20,0.0036"
2026-04-27T10:04:53.511980+00:00,"overnight,695140301,8224365,298600,0,119,116.7,276.7,3839,0,0.000,0.000,0.60,0,0,328,0.40,5.48,0.0037"
2026-04-27T10:05:53.540473+00:00,"overnight,695140301,8284397,298600,0,126,120.4,282.6,3859,0,0.000,0.000,0.60,0,0,286,0.34,5.37,0.0036"
2026-04-27T10:06:53.571311+00:00,"overnight,695140301,8344429,298600,0,121,122.3,285.6,3886,0,0.000,0.000,0.60,0,0,307,0.41,5.89,0.0036"
2026-04-27T10:07:53.602441+00:00,"overnight,695140301,8404461,298600,0,128,124.5,289.2,3846,0,0.000,0.000,0.60,0,0,334,0.47,6.24,0.0036"
2026-04-27T10:08:53.644898+00:00,"overnight,695140301,8464493,298600,0,123,119.4,281.0,3874,0,0.000,0.000,0.60,0,0,267,0.52,5.82,0.0036"
2026-04-27T10:09:53.685977+00:00,"overnight,695140301,8524525,298600,0,117,119.6,281.3,3910,0,0.000,0.000,0.60,0,0,309,0.42,4.86,0.0037"
2026-04-27T10:11:53.749090+00:00,"overnight,695140301,8584557,298600,0,129,124.3,288.9,3876,0,0.000,0.000,0.60,0,0,290,0.40,5.23,0.0038"
2026-04-27T10:11:53.751046+00:00,"overnight,695140301,8644589,298600,0,117,121.0,283.5,3883,0,0.000,0.000,0.60,0,0,296,0.39,5.37,0.0035"
2026-04-27T10:13:53.811843+00:00,"overnight,695140301,8704621,298600,0,113,121.5,284.4,3840,0,0.000,0.000,0.60,0,0,312,0.37,5.47,0.0035"
2026-04-27T10:13:53.813891+00:00,"overnight,695140301,8764653,298600,0,110,120.0,282.0,3810,0,0.000,0.000,0.60,0,0,277,0.48,5.70,0.0035"
2026-04-27T10:14:53.843226+00:00,"overnight,695140301,8824685,298600,0,123,125.0,289.9,3894,0,0.000,0.000,0.60,0,0,316,0.47,6.15,0.0035"
2026-04-27T10:15:53.874667+00:00,"overnight,695140301,8884717,298600,0,118,120.5,282.8,3815,0,0.000,0.000,0.60,0,0,307,0.40,4.94,0.0036"
2026-04-27T10:16:53.906028+00:00,"overnight,695140301,8944749,298600,0,118,122.8,286.6,3793,0,0.000,0.000,0.60,0,0,272,0.47,4.80,0.0036"
2026-04-27T10:17:53.937320+00:00,"overnight,695140301,9004781,298600,0,120,117.7,278.3,3872,0,0.000,0.000,0.60,0,0,318,0.41,5.79,0.0035"
2026-04-27T10:18:53.968720+00:00,"overnight,695140301,9064813,298600,0,121,121.3,284.1,3826,0,0.000,0.000,0.60,0,0,323,0.47,5.67,0.0036"
2026-04-27T10:19:54.000219+00:00,"overnight,695140301,9124845,298600,0,120,123.5,287.6,3864,0,0.000,0.000,0.60,0,0,313,0.54,5.54,0.0037"
2026-04-27T10:20:54.031564+00:00,"overnight,695140301,9184877,298600,0,112,120.6,282.9,3891,0,0.000,0.000,0.60,0,0,308,0.48,6.49,0.0035"
2026-04-27T10:22:54.094681+00:00,"overnight,695140301,9244909,298600,0,133,118.7,279.9,3866,0,0.000,0.000,0.60,0,0,310,0.46,5.33,0.0036"
2026-04-27T10:22:54.097405+00:00,"overnight,695140301,9304941,298600,0,113,124.4,289.1,3873,0,0.000,0.000,0.60,0,0,330,0.53,6.15,0.0036"
2026-04-27T10:23:54.125762+00:00,"overnight,695140301,9364973,298600,0,114,121.2,283.8,3842,0,0.000,0.000,0.60,0,0,281,0.33,5.64,0.0036"
2026-04-27T10:24:54.157120+00:00,"overnight,695140301,9425005,298600,0,128,121.9,285.1,3877,0,0.000,0.000,0.60,0,0,280,0.37,5.33,0.0036"
2026-04-27T10:25:54.188606+00:00,"overnight,695140301,9485037,298600,0,131,122.8,286.4,3840,0,0.000,0.000,0.60,0,0,289,0.41,5.56,0.0036"
2026-04-27T10:27:54.251437+00:00,"overnight,695140301,9545069,298600,0,124,121.6,284.6,3873,0,0.000,0.000,0.60,0,0,280,0.49,5.86,0.0036"
2026-04-27T10:27:54.253091+00:00,"overnight,695140301,9605101,298600,0,113,122.4,285.9,3874,0,0.000,0.000,0.60,0,0,316,0.59,5.61,0.0036"
2026-04-27T10:28:54.282732+00:00,"overnight,695140301,9665133,298600,0,139,124.5,289.2,3847,0,0.000,0.000,0.60,0,0,292,0.50,5.66,0.0036"
2026-04-27T10:30:54.345503+00:00,"overnight,695140301,9725165,298600,0,125,120.0,282.0,3891,0,0.000,0.000,0.60,0,0,337,0.40,5.94,0.0035"
2026-04-27T10:30:54.348191+00:00,"overnight,695140301,9785197,298600,0,137,126.2,292.0,3833,0,0.000,0.000,0.60,0,0,298,0.40,5.87,0.0037"
